DATE,ACTLISCOUUS
2016-07-01,1462355.0
2016-08-01,1459457.0
2016-09-01,1442492.0
2016-10-01,1407001.0
2016-11-01,1339004.0
2016-12-01,1235252.0
2017-01-01,1153332.0
2017-02-01,1150315.0
2017-03-01,1171789.0
2017-04-01,1197537.0
2017-05-01,1253065.0
2017-06-01,1291592.0
2017-07-01,1321957.0
2017-08-01,1324680.0
2017-09-01,1307960.0
2017-10-01,1286713.0
2017-11-01,1227700.0
2017-12-01,1127436.0
2018-01-01,1043551.0
2018-02-01,1044759.0
2018-03-01,1066876.0
2018-04-01,1101640.0
2018-05-01,1156470.0
2018-06-01,1216021.0
2018-07-01,1261433.0
2018-08-01,1285156.0
2018-09-01,1301421.0
2018-10-01,1304194.0
2018-11-01,1272566.0
2018-12-01,1185402.0
2019-01-01,1110220.0
2019-02-01,1102257.0
2019-03-01,1115464.0
2019-04-01,1136639.0
2019-05-01,1180347.0
2019-06-01,1219250.0
2019-07-01,1239298.0
2019-08-01,1235018.0
2019-09-01,1224596.0
2019-10-01,1208001.0
2019-11-01,1142966.0
2019-12-01,1033452.0
2020-01-01,951225.0
2020-02-01,927811.0
2020-03-01,936768.0
2020-04-01,941187.0
2020-05-01,927807.0
2020-06-01,870940.0
2020-07-01,822207.0
2020-08-01,778993.0
2020-09-01,748818.0
2020-10-01,733489.0
2020-11-01,683245.0
2020-12-01,611546.0
2021-01-01,531073.0
2021-02-01,464214.0
2021-03-01,439922.0
2021-04-01,435045.0
2021-05-01,447088.0
2021-06-01,491880.0
2021-07-01,546151.0
2021-08-01,574109.0
2021-09-01,577566.0
2021-10-01,565205.0
2021-11-01,511739.0
2021-12-01,444855.0
2022-01-01,376591.0
2022-02-01,346141.0
2022-03-01,353651.0
2022-04-01,379601.0
2022-05-01,479069.0
2022-06-01,573244.0
2022-07-01,691216.0
2022-08-01,726353.0
2022-09-01,731085.0
2022-10-01,752314.0
2022-11-01,749745.0
2022-12-01,680436.0
2023-01-01,616317.0
2023-02-01,578627.0
2023-03-01,562041.0
2023-04-01,563025.0
2023-05-01,582032.0
2023-06-01,613791.0
2023-07-01,646698.0
2023-08-01,669173.0
2023-09-01,701816.0
2023-10-01,737480.0
2023-11-01,754846.0
